language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=0.53 s (860.3 files/s 106278.3 lines/s)"
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/docs/goal/new_design.md,495,0,2097
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/.agents/skills/autoresearch/references/security-workflow.md,257,0,879
Ruby,tmp/goal-assessment/src-v0.60.0-rc.1/spec/integration/spec/configuration_spec.rb,145,2,792
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/.agents/skills/autoresearch/references/autonomous-loop-protocol.md,208,0,682
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/.agents/skills/autoresearch/SKILL.md,181,0,635
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/.agents/skills/autoresearch/references/fix-workflow.md,199,0,588
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/.agents/skills/autoresearch/references/predict-workflow.md,195,0,556
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/.agents/skills/autoresearch/references/reason-workflow.md,146,0,472
Go,tmp/goal-assessment/src-v0.60.0-rc.1/internal/railsinit/railsinit.go,94,42,448
Go,tmp/goal-assessment/src-v0.60.0-rc.1/runner_test.go,101,69,445
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/.agents/skills/autoresearch/references/learn-workflow.md,148,0,444
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/.agents/skills/autoresearch/references/debug-workflow.md,144,0,431
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/.agents/skills/autoresearch/references/ship-workflow.md,124,0,398
Go,tmp/goal-assessment/src-v0.60.0-rc.1/main.go,67,20,396
Go,tmp/goal-assessment/src-v0.60.0-rc.1/runner.go,68,27,394
Go,tmp/goal-assessment/src-v0.60.0-rc.1/internal/railsinit/railsinit_test.go,92,1,386
Go,tmp/goal-assessment/src-v0.60.0-rc.1/watch_find.go,54,3,377
Go,tmp/goal-assessment/src-v0.60.0-rc.1/framework/minitest/parser_test.go,75,34,373
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/docs/configuration-test-cases.md,130,0,355
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/.agents/skills/autoresearch/references/scenario-workflow.md,116,0,345
Go,tmp/goal-assessment/src-v0.60.0-rc.1/watch/processor_test.go,63,54,345
Go,tmp/goal-assessment/src-v0.60.0-rc.1/internal/kongtoml/kongtoml_test.go,55,55,344
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/.agents/skills/autoresearch/references/plan-workflow.md,100,0,339
Ruby,tmp/goal-assessment/src-v0.60.0-rc.1/spec/integration/spec/runtime_tracking_spec.rb,71,5,337
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/docs/plans/2026-05-12-rspec-split-specs-experimental-plan.md,108,0,336
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/docs/plans/2026-03-09-exclude-pattern-cli-implementation-plan.md,125,0,323
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/.agents/skills/autoresearch/references/probe-workflow.md,130,0,319
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/docs/configuration.md,112,0,309
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/docs/superpowers/plans/2026-05-23-watch-plan-parity.md,110,0,305
Ruby,tmp/goal-assessment/src-v0.60.0-rc.1/spec/integration/rails/rails_init_spec.rb,55,0,305
Ruby,tmp/goal-assessment/src-v0.60.0-rc.1/spec/integration/spec/json_rows_formatter_spec.rb,56,5,303
Go,tmp/goal-assessment/src-v0.60.0-rc.1/internal/kongtoml/kongtoml.go,34,9,289
Go,tmp/goal-assessment/src-v0.60.0-rc.1/cmd_watch.go,44,17,283
Go,tmp/goal-assessment/src-v0.60.0-rc.1/watch/watcher_test.go,63,31,276
Go,tmp/goal-assessment/src-v0.60.0-rc.1/internal/testruntime/cache_test.go,57,7,275
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/docs/architecture/runner-jobs-rfc.md,48,0,270
Go,tmp/goal-assessment/src-v0.60.0-rc.1/watch/tokens_test.go,15,30,270
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/docs/architecture/plur-watch-architecture.md,60,0,267
Go,tmp/goal-assessment/src-v0.60.0-rc.1/logger/logger_test.go,74,35,263
Go,tmp/goal-assessment/src-v0.60.0-rc.1/watch/file_event_handler_test.go,48,12,262
Go,tmp/goal-assessment/src-v0.60.0-rc.1/benchmark_test.go,43,37,259
Ruby,tmp/goal-assessment/src-v0.60.0-rc.1/spec/integration/spec/rails_rake_spec.rb,55,3,251
Go,tmp/goal-assessment/src-v0.60.0-rc.1/watch/watcher.go,52,46,250
Go,tmp/goal-assessment/src-v0.60.0-rc.1/internal/runtime/config_test.go,37,0,247
Bourne Shell,tmp/goal-assessment/src-v0.60.0-rc.1/install.sh,52,30,242
Ruby,tmp/goal-assessment/src-v0.60.0-rc.1/lib/plur/benchmark.rb,52,6,242
Go,tmp/goal-assessment/src-v0.60.0-rc.1/internal/testruntime/splitter_test.go,25,16,240
Go,tmp/goal-assessment/src-v0.60.0-rc.1/internal/runtime/defaults.go,36,10,237
Go,tmp/goal-assessment/src-v0.60.0-rc.1/internal/watchsession/session_test.go,58,50,233
Markdown,tmp/goal-assessment/src-v0.60.0-rc.1/docs/output-contracts.md,47,0,231
